first_snow	first_100_cm	first_50_cm	first_0_cm
1975-11-07	1976-04-26	1976-05-09	1976-05-15
1976-11-13		1977-04-08	1977-04-26
1977-11-18	1978-05-16	1978-05-25	1978-06-04
1978-11-11	1979-05-17	1979-05-24	1979-06-01
1979-11-07	1980-05-23	1980-05-30	1980-06-07
1980-10-15	1981-04-05	1981-04-19	1981-04-29
1981-10-24	1982-05-07	1982-05-22	1982-05-31
1982-10-26	1983-05-24	1983-06-01	1983-06-09
1983-11-08	1984-05-22	1984-05-28	1984-06-04
1984-10-17	1985-05-03	1985-05-17	1985-05-25
1985-11-05	1986-05-12	1986-05-23	1986-05-29
1986-10-31	1987-04-25	1987-05-07	1987-05-12
1987-11-06	1988-04-11	1988-05-05	1988-05-15
1988-11-08	1989-04-18	1989-05-05	1989-05-12
1989-11-24	1990-03-15	1990-05-06	1990-05-18
1990-11-02	1991-05-08	1991-05-18	1991-05-22
1991-10-24	1992-04-09	1992-04-27	1992-05-03
1992-10-28	1993-05-20	1993-05-30	1993-06-05
1993-11-12	1994-04-24	1994-05-15	1994-05-20
1994-10-30	1995-06-06	1995-06-13	1995-06-19
1995-11-01	1996-05-08	1996-05-15	1996-05-20
1996-10-20	1997-05-13	1997-05-21	1997-06-01
1997-10-23	1998-05-02	1998-05-13	1998-05-20
1998-10-25	1999-04-18	1999-05-20	1999-05-25
1999-11-20	2000-04-12	2000-05-01	2000-05-07
2000-10-31	2001-04-04	2001-05-07	2001-05-14
2001-11-18	2002-03-30	2002-04-10	2002-04-25
2002-10-22	2003-04-27	2003-05-16	2003-05-22
2003-11-02	2004-03-24	2004-05-02	2004-05-08
2004-10-29	2005-05-05	2005-05-20	2005-05-26
2005-10-29	2006-04-23	2006-05-03	2006-05-12
2006-10-17	2007-03-26	2007-04-23	2007-05-01
2007-11-21	2008-05-16	2008-05-26	2008-06-01
2008-11-04	2009-04-25	2009-05-06	2009-05-11
2009-11-13	2010-04-16	2010-04-27	2010-05-12
2010-10-24	2011-05-26	2011-06-01	2011-06-07
2011-10-25	2012-03-14	2012-04-01	2012-04-23
2012-11-10	2013-03-29	2013-04-30	2013-05-15
2013-10-29	2014-05-02	2014-05-18	2014-05-26
2014-11-02	2015-03-19	2015-04-12	2015-05-07
2015-11-04	2016-03-13	2016-05-04	2016-05-18
2016-11-17	2017-04-18	2017-05-11	2017-05-24
2017-11-18	2018-03-26	2018-04-24	2018-05-05
2018-11-03	2019-05-12	2019-05-31	2019-06-06
2019-11-20	2020-04-18	2020-05-01	2020-05-08